"Date, time",Pris,Omrade
01/09/2023 00:00,9.338,NO1
01/09/2023 00:00,91.233,NO2
01/09/2023 00:00,23.19,NO3
01/09/2023 00:00,23.19,NO4
01/09/2023 00:00,9.338,NO5
01/09/2023 01:00,8.075,NO1
01/09/2023 01:00,91.279,NO2
01/09/2023 01:00,22.719,NO3
01/09/2023 01:00,22.719,NO4
01/09/2023 01:00,8.075,NO5
01/09/2023 02:00,6.352,NO1
01/09/2023 02:00,91.13,NO2
01/09/2023 02:00,21.789,NO3
01/09/2023 02:00,21.789,NO4
01/09/2023 02:00,6.352,NO5
01/09/2023 03:00,3.63,NO1
01/09/2023 03:00,91.153,NO2
01/09/2023 03:00,21.686,NO3
01/09/2023 03:00,21.686,NO4
01/09/2023 03:00,3.63,NO5
01/09/2023 04:00,3.503,NO1
01/09/2023 04:00,91.314,NO2
01/09/2023 04:00,21.8,NO3
01/09/2023 04:00,21.8,NO4
01/09/2023 04:00,3.503,NO5
01/09/2023 05:00,1.309,NO1
01/09/2023 05:00,91.624,NO2
01/09/2023 05:00,22.846,NO3
01/09/2023 05:00,22.846,NO4
01/09/2023 05:00,1.309,NO5
01/09/2023 06:00,11.337,NO1
01/09/2023 06:00,93.795,NO2
01/09/2023 06:00,24.672,NO3
01/09/2023 06:00,24.672,NO4
01/09/2023 06:00,11.337,NO5
01/09/2023 07:00,11.394,NO1
01/09/2023 07:00,98.332,NO2
01/09/2023 07:00,27.21,NO3
01/09/2023 07:00,27.21,NO4
01/09/2023 07:00,11.394,NO5
01/09/2023 08:00,9.706,NO1
01/09/2023 08:00,98.389,NO2
01/09/2023 08:00,30.312,NO3
01/09/2023 08:00,30.312,NO4
01/09/2023 08:00,9.706,NO5
01/09/2023 09:00,11.624,NO1
01/09/2023 09:00,98.366,NO2
01/09/2023 09:00,34.067,NO3
01/09/2023 09:00,34.067,NO4
01/09/2023 09:00,11.624,NO5
01/09/2023 10:00,11.635,NO1
01/09/2023 10:00,98.355,NO2
01/09/2023 10:00,35.239,NO3
01/09/2023 10:00,35.239,NO4
01/09/2023 10:00,11.635,NO5
01/09/2023 11:00,11.624,NO1
01/09/2023 11:00,97.574,NO2
01/09/2023 11:00,35.767,NO3
01/09/2023 11:00,35.767,NO4
01/09/2023 11:00,11.624,NO5
01/09/2023 12:00,11.406,NO1
01/09/2023 12:00,96.563,NO2
01/09/2023 12:00,36.755,NO3
01/09/2023 12:00,36.755,NO4
01/09/2023 12:00,11.406,NO5
01/09/2023 13:00,11.394,NO1
01/09/2023 13:00,96.368,NO2
01/09/2023 13:00,32.333,NO3
01/09/2023 13:00,32.333,NO4
01/09/2023 13:00,11.394,NO5
01/09/2023 14:00,10.498,NO1
01/09/2023 14:00,96.103,NO2
01/09/2023 14:00,30.312,NO3
01/09/2023 14:00,30.312,NO4
01/09/2023 14:00,10.498,NO5
01/09/2023 15:00,10.946,NO1
01/09/2023 15:00,94.449,NO2
01/09/2023 15:00,34.401,NO3
01/09/2023 15:00,34.401,NO4
01/09/2023 15:00,10.946,NO5
01/09/2023 16:00,10.349,NO1
01/09/2023 16:00,96.574,NO2
01/09/2023 16:00,34.791,NO3
01/09/2023 16:00,34.791,NO4
01/09/2023 16:00,10.349,NO5
01/09/2023 17:00,10.992,NO1
01/09/2023 17:00,96.551,NO2
01/09/2023 17:00,36.617,NO3
01/09/2023 17:00,36.617,NO4
01/09/2023 17:00,10.992,NO5
01/09/2023 18:00,11.635,NO1
01/09/2023 18:00,91.888,NO2
01/09/2023 18:00,36.698,NO3
01/09/2023 18:00,36.698,NO4
01/09/2023 18:00,11.635,NO5
01/09/2023 19:00,11.394,NO1
01/09/2023 19:00,91.842,NO2
01/09/2023 19:00,34.596,NO3
01/09/2023 19:00,34.596,NO4
01/09/2023 19:00,11.394,NO5
01/09/2023 20:00,10.441,NO1
01/09/2023 20:00,91.773,NO2
01/09/2023 20:00,30.679,NO3
01/09/2023 20:00,30.679,NO4
01/09/2023 20:00,10.441,NO5
01/09/2023 21:00,8.063,NO1
01/09/2023 21:00,91.635,NO2
01/09/2023 21:00,27.383,NO3
01/09/2023 21:00,27.383,NO4
01/09/2023 21:00,8.063,NO5
01/09/2023 22:00,11.337,NO1
01/09/2023 22:00,91.038,NO2
01/09/2023 22:00,25.235,NO3
01/09/2023 22:00,25.235,NO4
01/09/2023 22:00,11.337,NO5
01/09/2023 23:00,8.063,NO1
01/09/2023 23:00,90.728,NO2
01/09/2023 23:00,23.121,NO3
01/09/2023 23:00,23.121,NO4
01/09/2023 23:00,8.063,NO5
02/09/2023 00:00,2.435,NO1
02/09/2023 00:00,86.765,NO2
02/09/2023 00:00,21.697,NO3
02/09/2023 00:00,21.697,NO4
02/09/2023 00:00,2.435,NO5
02/09/2023 01:00,2.309,NO1
02/09/2023 01:00,86.616,NO2
02/09/2023 01:00,20.721,NO3
02/09/2023 01:00,20.721,NO4
02/09/2023 01:00,2.309,NO5
02/09/2023 02:00,1.332,NO1
02/09/2023 02:00,86.501,NO2
02/09/2023 02:00,19.905,NO3
02/09/2023 02:00,19.905,NO4
02/09/2023 02:00,1.332,NO5
02/09/2023 03:00,1.149,NO1
02/09/2023 03:00,86.409,NO2
02/09/2023 03:00,19.193,NO3
02/09/2023 03:00,19.193,NO4
02/09/2023 03:00,1.149,NO5
02/09/2023 04:00,1.022,NO1
02/09/2023 04:00,86.352,NO2
02/09/2023 04:00,19.618,NO3
02/09/2023 04:00,19.618,NO4
02/09/2023 04:00,1.022,NO5
02/09/2023 05:00,0.023,NO1
02/09/2023 05:00,86.386,NO2
02/09/2023 05:00,18.975,NO3
02/09/2023 05:00,18.975,NO4
02/09/2023 05:00,0.023,NO5
02/09/2023 06:00,0.023,NO1
02/09/2023 06:00,86.421,NO2
02/09/2023 06:00,21.146,NO3
02/09/2023 06:00,21.146,NO4
02/09/2023 06:00,0.023,NO5
02/09/2023 07:00,0.034,NO1
02/09/2023 07:00,86.719,NO2
02/09/2023 07:00,22.225,NO3
02/09/2023 07:00,22.225,NO4
02/09/2023 07:00,0.034,NO5
02/09/2023 08:00,0.758,NO1
02/09/2023 08:00,87.064,NO2
02/09/2023 08:00,22.524,NO3
02/09/2023 08:00,22.524,NO4
02/09/2023 08:00,0.758,NO5
02/09/2023 09:00,1.436,NO1
02/09/2023 09:00,87.156,NO2
02/09/2023 09:00,23.19,NO3
02/09/2023 09:00,23.19,NO4
02/09/2023 09:00,1.436,NO5
02/09/2023 10:00,2.447,NO1
02/09/2023 10:00,86.639,NO2
02/09/2023 10:00,23.431,NO3
02/09/2023 10:00,23.431,NO4
02/09/2023 10:00,2.447,NO5
02/09/2023 11:00,2.584,NO1
02/09/2023 11:00,85.41,NO2
02/09/2023 11:00,23.317,NO3
02/09/2023 11:00,23.317,NO4
02/09/2023 11:00,2.584,NO5
02/09/2023 12:00,2.447,NO1
02/09/2023 12:00,83.618,NO2
02/09/2023 12:00,22.662,NO3
